,0
0,VWAP
1,Momentum_20
2,SPY_Momentum_5
3,SPY_RSI_14
4,SPY_Bollinger_Lower
5,USO_Close
6,DIA_SMA_5
7,IWM_SMA_10
8,VTI_capital
9,DIA_RSI_14
10,VTI_high
11,DIA_low
12,DXY_Volume
13,day_Tuesday
14,DIA_high
15,IWM_capital_short
16,SMA_10
17,Momentum_50
18,SPY_RSI_28
19,VTI_ADX
20,day_Thursday
21,SPY_RSI_21
22,SPY_Volume_Change_percent
23,week_of_year
24,GLD_Close
25,IWM_high
26,RSI_21
27,SPY_MACD
28,DIA_Momentum_15
29,SPY_Momentum_15
30,VTI_volume
31,DIA_ADX
32,USO_Volume
33,USO_capital
34,VTI_RSI_28
35,IWM_Signal_Line
36,DIA_ATR
37,IWM_RSI_14
38,SPY_capital
39,VTI_MACD
40,SPY_SMA_10
41,SPY_close
42,IWM_capital_long
43,day_Wednesday
44,IEF_capital
45,VTI_SMA_10
46,VTI_Volume_Change
47,IWM_Momentum_5
48,VTI_RSI_21
49,IWM_Bollinger_Upper
